ID ,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
12473,2022,SE,FT,Data Scientist,167000,USD,167000,US,100,US,M
12474,2022,SE,FT,Data Scientist,123000,USD,123000,US,100,US,M
12475,2022,SE,FT,Data Engineer,60000,GBP,78526,GB,0,GB,M
12476,2022,SE,FT,Data Engineer,50000,GBP,65438,GB,0,GB,M
12477,2022,SE,FT,Data Scientist,150000,USD,150000,US,0,US,M
12478,2022,SE,FT,Data Scientist,211500,USD,211500,US,100,US,M
12479,2022,SE,FT,Data Architect,192400,USD,192400,CA,100,CA,M
12480,2022,SE,FT,Data Architect,90700,USD,90700,CA,100,CA,M
12481,2022,SE,FT,Data Analyst,130000,USD,130000,CA,100,CA,M
12482,2022,SE,FT,Data Analyst,61300,USD,61300,CA,100,CA,M
12483,2022,SE,FT,Data Analyst,130000,USD,130000,CA,100,CA,M
12484,2022,SE,FT,Data Analyst,61300,USD,61300,CA,100,CA,M
12485,2022,SE,FT,Data Engineer,160000,USD,160000,US,0,US,L
12486,2022,SE,FT,Data Scientist,138600,USD,138600,US,100,US,M
12487,2022,SE,FT,Data Engineer,136000,USD,136000,US,0,US,M
12488,2022,MI,FT,Data Analyst,58000,USD,58000,US,0,US,S
12489,2022,EX,FT,Analytics Engineer,135000,USD,135000,US,100,US,M
12490,2022,SE,FT,,170000,USD,170000,US,100,US,M
12491,2022,SE,FT,Data Scientist,123000,USD,123000,US,100,US,M
12492,2022,SE,FT,Machine Learning Engineer,189650,USD,189650,US,0,US,M
12493,2022,SE,FT,Machine Learning Engineer,164996,USD,164996,US,0,US,M
12494,2022,MI,FT,ETL Developer,50000,EUR,54957,GR,0,GR,M
12495,2022,MI,FT,ETL Developer,50000,EUR,54957,GR,0,GR,M
12496,2022,EX,FT,Lead Data Engineer,150000,CAD,118187,CA,100,CA,S
12497,2022,SE,FT,Data Analyst,132000,USD,132000,US,0,US,M
12498,2022,SE,FT,Data Engineer,165400,USD,165400,US,100,US,M
12499,2022,SE,FT,Data Architect,208775,USD,208775,US,100,US,M
12500,2022,SE,FT,Data Architect,147800,USD,147800,US,100,US,M
12501,2022,SE,FT,Data Engineer,136994,USD,136994,US,100,US,M
12502,2022,SE,FT,Data Engineer,101570,USD,101570,US,100,US,M
12503,2022,SE,FT,Data Analyst,128875,USD,128875,US,100,US,M
12504,2022,SE,FT,Data Analyst,93700,USD,93700,US,100,US,M
12505,2022,EX,FT,Head of Machine Learning,6000000,INR,79039,IN,50,IN,L
12506,2022,SE,FT,Data Engineer,132320,USD,132320,US,100,US,M
12507,2022,EN,FT,Machine Learning Engineer,28500,GBP,37300,GB,100,GB,L
12508,2022,SE,FT,Data Analyst,164000,USD,164000,US,0,US,M
12509,2022,SE,FT,Data Engineer,155000,USD,155000,US,100,US,M
12510,2022,MI,FT,Machine Learning Engineer,95000,GBP,124333,GB,0,GB,M
12511,2022,MI,FT,Machine Learning Engineer,75000,GBP,98158,GB,0,GB,M
12512,2022,MI,FT,AI Scientist,120000,USD,120000,US,0,US,M
12513,2022,SE,FT,Data Analyst,112900,USD,112900,US,100,US,M
12514,2022,SE,FT,Data Analyst,90320,USD,90320,US,100,US,M
12515,2022,SE,FT,Data Analytics Manager,145000,USD,145000,US,100,US,M
12516,2022,SE,FT,Data Analytics Manager,105400,USD,105400,US,100,US,M
12517,2022,MI,FT,Machine Learning Engineer,80000,EUR,87932,FR,100,DE,M
12518,2022,MI,FT,Data Engineer,90000,GBP,117789,GB,0,GB,M
12519,2022,SE,FT,Data Scientist,215300,USD,215300,US,100,US,L
12520,2022,SE,FT,Data Scientist,158200,USD,158200,US,100,US,L
12521,2022,SE,FT,Data Engineer,209100,USD,209100,US,100,US,L
12522,2022,SE,FT,Data Engineer,154600,USD,154600,US,100,US,L
12523,2022,SE,FT,Data Analyst,115934,USD,115934,US,0,US,M
12524,2022,SE,FT,Data Analyst,81666,USD,81666,US,0,US,M
12525,2022,SE,FT,Data Engineer,175000,USD,175000,US,100,US,M
12526,2022,MI,FT,Data Engineer,75000,GBP,98158,GB,0,GB,M
12527,2022,MI,FT,Data Analyst,58000,USD,58000,US,0,US,S
12528,2022,SE,FT,Data Engineer,183600,USD,183600,US,100,US,L
12529,2022,MI,FT,Data Analyst,40000,GBP,52351,GB,100,GB,M
12530,2022,SE,FT,Data Scientist,180000,USD,180000,US,100,US,M
12531,2022,MI,FT,Data Scientist,55000,GBP,71982,GB,0,GB,M
12532,2022,MI,FT,Data Scientist,35000,GBP,45807,GB,0,GB,M
12533,2022,MI,FT,Data Engineer,60000,EUR,65949,GR,100,GR,M
12534,2022,MI,FT,Data Engineer,45000,EUR,49461,GR,100,GR,M
12535,2022,MI,FT,Data Engineer,60000,GBP,78526,GB,100,GB,M
12536,2022,MI,FT,Data Engineer,45000,GBP,58894,GB,100,GB,M
12537,2022,SE,FT,Data Scientist,260000,USD,260000,US,100,US,M
12538,2022,SE,FT,Data Science Engineer,60000,USD,60000,AR,100,MX,L
12539,2022,MI,FT,Data Engineer,63900,USD,63900,US,0,US,M
12540,2022,MI,FT,Machine Learning Scientist,160000,USD,160000,US,100,US,L
12541,2022,MI,FT,Machine Learning Scientist,112300,USD,112300,US,100,US,L
12542,2022,MI,FT,Data Science Manager,241000,USD,241000,US,100,US,M
12543,2022,MI,FT,Data Science Manager,159000,USD,159000,US,100,US,M
12544,2022,SE,FT,Data Scientist,180000,USD,180000,US,0,US,M
12545,2022,SE,FT,Data Scientist,80000,USD,80000,US,0,US,M
12546,2022,MI,FT,Data Engineer,82900,USD,82900,US,0,US,M
12547,2022,SE,FT,Data Engineer,100800,USD,100800,US,100,US,L
12548,2022,MI,FT,Data Engineer,45000,EUR,49461,ES,100,ES,M
12549,2022,SE,FT,Data Scientist,140400,USD,140400,US,0,US,L
12550,2022,MI,FT,Data Analyst,30000,GBP,39263,GB,100,GB,M
12551,2022,MI,FT,Data Analyst,40000,EUR,43966,ES,100,ES,M
12552,2022,MI,FT,Data Analyst,30000,EUR,32974,ES,100,ES,M
12553,2022,MI,FT,Data Engineer,80000,EUR,87932,ES,100,ES,M
12554,2022,MI,FT,Data Engineer,70000,EUR,76940,ES,100,ES,M
12555,2022,MI,FT,Data Engineer,80000,GBP,104702,GB,100,GB,M
12556,2022,MI,FT,Data Engineer,70000,GBP,91614,GB,100,GB,M
12557,2022,MI,FT,Data Engineer,60000,EUR,65949,ES,100,ES,M
12558,2022,MI,FT,Data Engineer,80000,EUR,87932,GR,100,GR,M
12559,2022,SE,FT,Machine Learning Engineer,189650,USD,189650,US,0,US,M
12560,2022,SE,FT,Machine Learning Engineer,164996,USD,164996,US,0,US,M
12561,2022,MI,FT,Data Analyst,40000,EUR,43966,GR,100,GR,M
12562,2022,MI,FT,Data Analyst,30000,EUR,32974,GR,100,GR,M
12563,2022,MI,FT,Data Engineer,75000,GBP,98158,GB,100,GB,M
12564,2022,MI,FT,Data Engineer,60000,GBP,78526,GB,100,GB,M
12565,2022,SE,FT,Data Scientist,215300,USD,215300,US,0,US,L
12566,2022,MI,FT,Data Engineer,70000,EUR,76940,GR,100,GR,M
12567,2022,SE,FT,Data Engineer,209100,USD,209100,US,100,US,L
12568,2022,SE,FT,Data Engineer,154600,USD,154600,US,100,US,L
12569,2022,SE,FT,Data Engineer,180000,USD,180000,US,100,US,M
12570,2022,EN,FT,ML Engineer,20000,EUR,21983,PT,100,PT,L
12571,2022,SE,FT,Data Engineer,80000,USD,80000,US,100,US,M
12572,2022,MI,FT,Machine Learning Developer,100000,CAD,78791,CA,100,CA,M
12573,2022,EX,FT,Director of Data Science,250000,CAD,196979,CA,50,CA,L
12574,2022,MI,FT,Machine Learning Engineer,120000,USD,120000,US,100,US,S
12575,2022,EN,FT,Computer Vision Engineer,125000,USD,125000,US,0,US,M
12576,2022,MI,FT,NLP Engineer,240000,CNY,37236,US,50,US,L
12577,2022,SE,FT,Data Engineer,105000,USD,105000,US,100,US,M
12578,2022,SE,FT,Lead Machine Learning Engineer,80000,EUR,87932,DE,0,DE,M
12579,2022,MI,FT,Business Data Analyst,1400000,INR,18442,IN,100,IN,M
12580,2022,MI,FT,Data Scientist,2400000,INR,31615,IN,100,IN,L
12581,2022,MI,FT,Machine Learning Infrastructure Engineer,53000,EUR,58255,PT,50,PT,L
12582,2022,EN,FT,Financial Data Analyst,100000,USD,100000,US,50,US,L
12583,2022,MI,PT,Data Engineer,50000,EUR,54957,DE,50,DE,L
12584,2022,EN,FT,Data Scientist,1400000,INR,18442,IN,100,IN,M
12585,2022,SE,FT,Principal Data Scientist,148000,EUR,162674,DE,100,DE,M
12586,2022,EN,FT,Data Engineer,120000,USD,120000,US,100,US,M
12587,2022,SE,FT,Research Scientist,144000,USD,144000,US,50,US,L
12588,2022,SE,FT,Data Scientist,104890,USD,104890,US,100,US,M
12589,2022,SE,FT,Data Engineer,100000,USD,100000,US,100,US,M
12590,2022,SE,FT,Data Scientist,140000,USD,140000,US,100,US,M
12591,2022,MI,FT,Data Analyst,135000,USD,135000,US,100,US,M
12592,2022,MI,FT,Data Analyst,50000,USD,50000,US,100,US,M
12593,2022,SE,FT,Data Scientist,220000,USD,220000,US,100,US,M
12594,2022,SE,FT,Data Scientist,140000,USD,140000,US,100,US,M
12595,2022,MI,FT,Data Scientist,140000,GBP,183228,GB,0,GB,M
12596,2022,MI,FT,Data Scientist,70000,GBP,91614,GB,0,GB,M
12597,2022,SE,FT,Data Scientist,185100,USD,185100,US,100,US,M
12598,2022,SE,FT,Machine Learning Engineer,220000,USD,220000,US,100,US,M
12599,2022,MI,FT,Data Scientist,200000,USD,200000,US,100,US,M
12600,2022,MI,FT,Data Scientist,120000,USD,120000,US,100,US,M
12601,2022,SE,FT,Machine Learning Engineer,120000,USD,120000,AE,100,AE,S
12602,2022,SE,FT,Machine Learning Engineer,65000,USD,65000,AE,100,AE,S
12603,2022,EX,FT,Data Engineer,324000,USD,324000,US,100,US,M
12604,2022,EX,FT,Data Engineer,216000,USD,216000,US,100,US,M
12605,2022,SE,FT,Data Engineer,210000,USD,210000,US,100,US,M
12606,2022,SE,FT,Machine Learning Engineer,120000,USD,120000,US,100,US,M
12607,2022,SE,FT,Data Scientist,230000,USD,230000,US,100,US,M
12608,2022,EN,PT,Data Scientist,100000,USD,100000,DZ,50,DZ,M
12609,2022,MI,FL,Data Scientist,100000,USD,100000,CA,100,US,M
12610,2022,EN,CT,Applied Machine Learning Scientist,29000,EUR,31875,TN,100,CZ,M
12611,2022,SE,FT,Head of Data,200000,USD,200000,MY,100,US,M
12612,2022,MI,FT,Principal Data Analyst,75000,USD,75000,CA,100,CA,S
12613,2022,MI,FT,Data Scientist,150000,PLN,35590,PL,100,PL,L
12614,2022,SE,FT,Machine Learning Developer,100000,CAD,78791,CA,100,CA,M
12615,2022,SE,FT,Data Scientist,100000,USD,100000,BR,100,US,M
12616,2022,MI,FT,Machine Learning Scientist,153000,USD,153000,US,50,US,M
12617,2022,EN,FT,Data Engineer,52800,EUR,58035,PK,100,DE,M
12618,2022,SE,FT,Data Scientist,165000,USD,165000,US,100,US,M
12619,2022,SE,FT,Research Scientist,85000,EUR,93427,FR,50,FR,L
12620,2022,EN,FT,Data Scientist,66500,CAD,52396,CA,100,CA,L
12621,2022,SE,FT,Machine Learning Engineer,57000,EUR,62651,NL,100,NL,L
12622,2022,MI,FT,Head of Data,30000,EUR,32974,EE,100,EE,S
12623,2022,EN,FT,Data Scientist,40000,USD,40000,JP,100,MY,L
12624,2022,MI,FT,Machine Learning Engineer,121000,AUD,87425,AU,100,AU,L
12625,2022,SE,FT,Data Engineer,115000,USD,115000,US,100,US,M
12626,2022,EN,FT,Data Scientist,120000,AUD,86703,AU,50,AU,M
12627,2022,MI,FT,Applied Machine Learning Scientist,75000,USD,75000,BO,100,US,L
12628,2022,MI,FT,Research Scientist,59000,EUR,64849,AT,0,AT,L
12629,2022,EN,FT,Research Scientist,120000,USD,120000,US,100,US,L
12630,2022,MI,FT,Applied Data Scientist,157000,USD,157000,US,100,US,L
12631,2022,EN,FT,Computer Vision Software Engineer,150000,USD,150000,AU,100,AU,S
12632,2022,MI,FT,Business Data Analyst,90000,CAD,70912,CA,50,CA,L
12633,2022,EN,FT,Data Engineer,65000,USD,65000,US,100,US,S
12634,2022,SE,FT,Machine Learning Engineer,65000,EUR,71444,IE,100,IE,S
12635,2022,EN,FT,Data Analytics Engineer,20000,USD,20000,PK,0,PK,M
12636,2022,MI,FT,Data Scientist,48000,USD,48000,RU,100,US,S
12637,2022,SE,FT,Data Science Manager,152500,USD,152500,US,100,US,M
12638,2022,MI,FT,Data Engineer,62000,EUR,68147,FR,100,FR,M
